team_id,cust_id,display_name,finish_position,finish_position_in_class,laps_lead,laps_complete,opt_laps_complete,interval,class_interval,average_lap,best_lap_num,best_lap_time,position,starting_position,starting_position_in_class,car_class_id,car_class_name,car_class_short_name,club_id,club_name,club_shortname,incidents,car_id,car_name,team_display_name,simsession_number,simsession_type,simsession_type_name,simsession_subtype,simsession_name,laps_complete_valid,average_lap_valid,speed_valid,time_valid,avg_lap,time,speed,total_session_time,percentage
-264062,478574,Matias Nievas Soto,28,15,0,132,0,-1,-1,1088703,336,1052096,28,35,19,58011,GT3-PEC,GT3-PEC,24,Hispanoamérica,Hispanoamérica,24,137,[Legacy] Porsche 911 GT3 R,Team Upstate,0,6,Race,0,RACE,129,108.7123047,189.7241786,14023.8873,108.8703,14370.8796,189.448846,42676.0007,32.86%
-264062,665951,Graeme Lynch,28,15,0,91,0,-1,-1,1280993,58,1066087,28,35,19,58011,GT3-PEC,GT3-PEC,36,UK and I,UK and I,22,137,[Legacy] Porsche 911 GT3 R,Team Upstate,0,6,Race,0,RACE,88,109.9208477,187.6382245,9673.0346,128.0993,11657.0363,161.0106589,42676.0007,22.67%
-159911,765885,Chris AJ Mayer,29,16,0,93,0,-1,-1,1182649,149,1057688,29,28,12,58011,GT3-PEC,GT3-PEC,42,DE-AT-CH,DE-AT-CH,14,137,[Legacy] Porsche 911 GT3 R,Austrian Simracers Blue,0,6,Race,0,RACE,89,107.6183124,191.6528168,9578.0298,118.2649,10998.6357,174.3996123,42676.0007,22.44%
-159911,461635,Markus Deutsch,29,16,0,90,0,-1,-1,1085650,160,1059066,29,28,12,58011,GT3-PEC,GT3-PEC,42,DE-AT-CH,DE-AT-CH,27,137,[Legacy] Porsche 911 GT3 R,Austrian Simracers Blue,0,6,Race,0,RACE,86,108.5090291,190.0795987,9331.7765,108.565,9770.85,189.9816028,42676.0007,21.87%
-159911,665679,TH Reinberger,29,16,0,80,0,-1,-1,1076014,210,1056805,29,28,12,58011,GT3-PEC,GT3-PEC,42,DE-AT-CH,DE-AT-CH,18,137,[Legacy] Porsche 911 GT3 R,Austrian Simracers Blue,0,6,Race,0,RACE,73,107.5561534,191.763577,7851.5992,107.6014,8608.112,191.68294,42676.0007,18.40%
-159911,393889,Stefan Kapeller,29,16,0,74,0,-1,-1,1084345,287,1052212,29,28,12,58011,GT3-PEC,GT3-PEC,42,DE-AT-CH,DE-AT-CH,15,137,[Legacy] Porsche 911 GT3 R,Austrian Simracers Blue,0,6,Race,0,RACE,70,108.3679714,190.3270167,7585.758,108.4345,8024.153,190.210244,42676.0007,17.78%
-140500,347125,Ben Dutton,30,8,0,169,0,-1,-1,993829,171,960637,30,9,3,58087,LMP2-PEC,LMP2-PEC,34,Australia/NZ,Australia/NZ,25,128,Dallara P217,505 Endurance,0,6,Race,0,RACE,166,99.35521807,207.592043,16492.9662,99.3829,16795.7101,207.5342207,42676.0007,38.65%
-140500,356582,Dennis Cho,30,8,0,137,0,-1,-1,1000267,304,969394,30,9,3,58087,LMP2-PEC,LMP2-PEC,34,Australia/NZ,Australia/NZ,24,128,Dallara P217,505 Endurance,0,6,Race,0,RACE,129,99.42773566,207.4406358,12826.1779,100.0267,13703.6579,206.198472,42676.0007,30.05%
-297933,528272,Pablo Arteaga,31,17,0,154,0,-1,-1,1079937,247,1047917,31,23,7,58011,GT3-PEC,GT3-PEC,24,Hispanoamérica,Hispanoamérica,7,132,BMW M4 GT3,Prestanda NOMAD #209,0,6,Race,0,RACE,153,107.9937268,190.9865815,16523.0402,107.9937,16631.0298,190.9866289,42676.0007,38.72%
-297933,709327,Liam P Doyle,31,17,0,100,0,-1,-1,1101643,143,1053102,31,23,7,58011,GT3-PEC,GT3-PEC,36,UK and I,UK and I,7,132,BMW M4 GT3,Prestanda NOMAD #209,0,6,Race,0,RACE,98,110.1642694,187.2236145,10796.0984,110.1643,11016.43,187.2235625,42676.0007,25.30%
-257830,794190,Pedro Oliveira Vigário,32,18,0,112,0,-1,-1,1159458,201,1051789,32,26,10,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,18,132,BMW M4 GT3,SR TECHNIC,0,6,Race,0,RACE,109,107.6926853,191.5204607,11738.5027,115.9458,12985.9296,177.8878813,42676.0007,27.51%
-257830,491790,Sérgio Vieira,32,18,0,60,0,-1,-1,1083737,140,1057646,32,26,10,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,2,132,BMW M4 GT3,SR TECHNIC,0,6,Race,0,RACE,59,108.3737305,190.3169025,6394.0501,108.3737,6502.422,190.3169561,42676.0007,14.98%
-257830,613054,Luis Marinho,32,18,0,38,0,-1,-1,1083002,20,1059751,32,26,10,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,9,132,BMW M4 GT3,SR TECHNIC,0,6,Race,0,RACE,37,108.3001649,190.4461801,4007.1061,108.3002,4115.4076,190.4461183,42676.0007,9.39%
-303752,555223,Gianni Pirone,33,9,0,120,0,-1,-1,1001815,171,966251,33,13,7,58087,LMP2-PEC,LMP2-PEC,36,UK and I,UK and I,25,128,Dallara P217,HW Racing,0,6,Race,0,RACE,119,100.1815361,205.8797808,11921.6028,100.1815,12021.78,205.8798551,42676.0007,27.94%
-303752,324079,Patrick Szilvasi,33,9,0,72,0,-1,-1,999111,99,972383,33,13,7,58087,LMP2-PEC,LMP2-PEC,46,Central-Eastern Europe,Central-Eastern Europe,4,128,Dallara P217,HW Racing,0,6,Race,0,RACE,71,99.91110704,206.437035,7093.6886,99.9111,7193.5992,206.4370496,42676.0007,16.62%
-129653,389453,Carlos Ruiz3,34,19,0,89,0,-1,-1,1081447,117,1056886,34,24,8,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,15,132,BMW M4 GT3,Octopus Racing Team,0,6,Race,0,RACE,88,108.1446773,190.7199987,9516.7316,108.1447,9624.8783,190.7199586,42676.0007,22.30%
-129653,649681,Joselu Otero,34,19,0,60,0,-1,-1,1072289,140,1053465,34,24,8,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,9,132,BMW M4 GT3,Octopus Racing Team,0,6,Race,0,RACE,58,107.2288741,192.3488694,6219.2747,107.2289,6433.734,192.348823,42676.0007,14.57%
-129653,336658,Jonathan Guisande,34,19,0,27,0,-1,-1,1071262,176,1054393,34,24,8,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,9,132,BMW M4 GT3,Octopus Racing Team,0,6,Race,0,RACE,24,106.5501667,193.5741008,2557.204,107.1262,2892.4074,192.5332244,42676.0007,5.99%
-129672,443123,Alessio Bernardini,35,20,0,106,0,-1,-1,1078820,155,1050511,35,16,0,58011,GT3-PEC,GT3-PEC,41,Italy,Italy,30,132,BMW M4 GT3,RACING TEAM #208,0,6,Race,0,RACE,105,107.8820295,191.1843223,11327.6131,107.882,11435.492,191.1843746,42676.0007,26.54%
-129672,758401,Alessio Bonino,35,20,0,62,0,-1,-1,1075448,94,1050985,35,16,0,58011,GT3-PEC,GT3-PEC,41,Italy,Italy,12,132,BMW M4 GT3,RACING TEAM #208,0,6,Race,0,RACE,59,107.4756136,191.9072804,6341.0612,107.5448,6667.7776,191.7838213,42676.0007,14.86%
-223528,339819,Joao Reis,36,21,0,69,0,-1,-1,1088797,152,1046286,36,21,5,58011,GT3-PEC,GT3-PEC,1,International Club,International,12,132,BMW M4 GT3,SimVision,0,6,Race,0,RACE,63,106.7224,193.2617024,6723.5112,108.8797,7512.6993,189.4324902,42676.0007,15.75%
-223528,465352,Filipe RC Barreto,36,21,0,62,0,-1,-1,1133795,116,1047709,36,21,5,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,7,132,BMW M4 GT3,SimVision,0,6,Race,0,RACE,59,113.4989186,181.7229005,6696.4362,113.3795,7029.529,181.9143029,42676.0007,15.69%
-223528,301748,Joao Nascimento,36,21,0,31,0,-1,-1,1069081,53,1051197,36,21,5,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,9,132,BMW M4 GT3,SimVision,0,6,Race,0,RACE,30,106.9080567,192.9260838,3207.2417,106.9081,3314.1511,192.9260056,42676.0007,7.52%
-110547,633220,Gerard Sardeny Saez,37,22,0,40,0,-1,-1,1090988,28,1049212,37,22,6,58011,GT3-PEC,GT3-PEC,38,Iberia,Iberia,16,156,Mercedes-AMG GT3 2020,Carbono eSports,0,6,Race,0,RACE,38,107.7592421,191.4021693,4094.8512,109.0988,4363.952,189.0520584,42676.0007,9.60%
-132790,639407,Nico Schihwetz,38,5,0,21,0,-1,-1,996118,3,931438,38,3,3,4029,GTP,GTP,42,DE-AT-CH,DE-AT-CH,9,159,BMW M Hybrid V8,Reiter Engineering Esports,0,6,Race,0,RACE,19,95.62867895,215.6816651,1816.9449,99.6118,2091.8478,207.0573236,42676.0007,4.26%
-132790,496331,Hugo Robb,38,5,0,0,0,-1,-1,0,-1,-1,38,3,3,4029,GTP,GTP,43,Scandinavia,Scandinavia,0,159,BMW M Hybrid V8,Reiter Engineering Esports,0,6,Race,0,RACE,0,0,0,0,0,0,inf,42676.0007,0.00%
